센터ID,프로그램ID
C0034,P0004
C0034,P0131
C0034,P0132
C0035,P0004
C0035,P0133
C0035,P0132
C0036,P0004
C0036,P0134
C0036,P0108
C0036,P0135
C0036,P0136
C0036,P0137
C0036,P0138
C0037,P0139
C0038,P0140
C0038,P0141
C0038,P0142
C0038,P0143
C0039,P0144
C0039,P0004
C0039,P0145
C0039,P0146
C0039,P0147
C0039,P0148
C0039,P0130
C0039,P0149
C0039,P0150
C0040,P0151
C0040,P0008
C0040,P0152
C0040,P0153
C0041,P0154
C0041,P0050
C0041,P0097
C0041,P0006
C0041,P0155
C0041,P0102
C0041,P0156
C0041,P0157
C0041,P0158
C0041,P0159
C0042,P0160
C0043,P0161
C0043,P0162
C0043,P0163
C0043,P0164
C0043,P0165
C0044,P0001
C0044,P0107
C0044,P0166
C0045,P0167
C0046,P0004
C0046,P0125
C0046,P0168
C0046,P0107
C0046,P0169
C0046,P0010
C0046,P0170
C0046,P0171
C0046,P0106
C0047,P0004
C0047,P0107
C0047,P0172
C0047,P0173
C0048,P0004
C0048,P0174
C0048,P0175
C0049,P0176
C0049,P0177
C0049,P0178
C0049,P0019
C0049,P0179
C0049,P0180
C0049,P0181
C0050,P0182
C0050,P0101
C0050,P0084
C0050,P0103
C0050,P0183
C0050,P0055
C0050,P0184
C0050,P0185
C0050,P0186
C0051,P0187
C0051,P0188
C0051,P0189
C0051,P0108
C0051,P0190
C0051,P0111
C0051,P0191
C0052,P0192
C0052,P0193
C0052,P0084
C0052,P0194
C0052,P0195
C0052,P0196
C0052,P0197
C0053,P0004
C0053,P0125
C0053,P0198
C0053,P0061
C0053,P0199
C0053,P0200
C0054,P0019
C0054,P0201
C0054,P0202
C0054,P0203
C0055,P0204
C0055,P0205
C0055,P0051
C0055,P0206
C0055,P0207
C0055,P0208
C0055,P0209
C0055,P0210
C0056,P0211
C0056,P0177
C0056,P0212
C0057,P0187
C0057,P0188
C0057,P0189
C0057,P0108
C0057,P0190
C0057,P0111
C0057,P0191
C0058,P0034
C0058,P0213
C0058,P0214
C0058,P0215
C0059,P0009
C0059,P0216
C0059,P0156
C0060,P0217
C0060,P0218
C0060,P0171
C0060,P0130
C0060,P0031
C0060,P0219
C0060,P0220
C0060,P0221
C0060,P0222
C0060,P0223
C0060,P0224
C0060,P0225
C0061,P0004
C0061,P0226
C0061,P0227
C0061,P0030
C0061,P0013
C0061,P0228
C0062,P0229
C0063,P0230
C0063,P0231
C0063,P0232
C0063,P0233
C0063,P0030
C0063,P0234
C0064,P0004
C0064,P0006
C0064,P0031
C0064,P0235
C0065,P0004
C0065,P0133
C0065,P0236
C0065,P0237
C0066,P0238
C0067,P0205
C0067,P0239
C0067,P0240
C0067,P0241
C0068,P0242
C0069,P0004
C0069,P0243
C0069,P0227
C0069,P0165
C0070,P0242
C0071,P0244
C0071,P0079
C0071,P0245
C0071,P0227
C0071,P0246
C0072,P0247
C0073,P0205
C0073,P0046
C0073,P0248
C0075,P0249
C0075,P0250
C0075,P0251
C0076,P0066
C0076,P0178
C0076,P0009
C0076,P0252
C0077,P0171
C0077,P0253
C0077,P0254
C0077,P0255
C0077,P0256
C0077,P0257
