센터ID,시군구
C0001,강남구
C0002,강동구
C0003,강북구
C0004,강서구
C0005,관악구
C0006,광진구
C0007,구로구
C0008,금천구
C0009,노원구
C0010,도봉구
C0011,동대문구
C0012,동작구
C0013,마포구
C0014,서대문구
C0015,서초구
C0016,성동구
C0017,성북구
C0018,송파구
C0019,양천구
C0020,영등포구
C0021,용산구
C0022,은평구
C0023,종로구
C0024,중구
C0025,중랑구
C0026,강서구
C0027,금정구
C0028,기장군
C0029,남구
C0030,동구
C0031,동래구
C0032,부산진구
C0033,북구
C0034,사상구
C0035,사하구
C0036,서구
C0037,수영구
C0038,연제구
C0039,영도구
C0040,중구
C0041,해운대구
C0042,남구
C0043,달서구
C0044,달성군
C0045,동구
C0046,북구
C0047,서구
C0048,수성구
C0049,중구
C0050,군위군
C0051,강화군
C0052,계양구
C0053,미추홀구
C0054,남동구
C0055,동구
C0056,부평구
C0057,서구
C0058,연수구
C0059,옹진군
C0060,중구
C0061,광산구
C0062,남구
C0063,동구
C0064,북구
C0065,서구
C0066,대덕구
C0067,동구
C0068,서구
C0069,유성구
C0070,중구
C0071,남구
C0072,동구
C0073,북구
C0074,울주
C0075,중구
C0076,세종시
C0077,가평군
C0078,고양시 덕양구
C0079,고양시 일산동구
C0080,고양시 일산서구
C0081,과천시
C0082,광명시
C0083,광주시
C0084,구리시
C0085,군포시
C0086,김포시
C0087,남양주시
C0088,남양주시 풍양
C0089,동두천시
C0090,부천시 원미구
C0091,성남시 분당구
C0092,성남시 수정구
C0093,성남시 중원구
C0094,수원시 권선구
C0095,수원시 영통구
C0096,수원시 장안구
C0097,수원시 팔달구
C0098,시흥시
C0099,안산시 단원구
C0100,안산시 상록구
C0101,안성시
C0102,안양시 동안구
C0103,안양시 만안구
C0104,양주시
C0105,양평군
C0106,여주시
C0107,연천군
C0108,오산시
C0109,용인시 기흥구
C0110,용인시 수지구
C0111,용인시 처인구
C0112,의왕시
C0113,의정부시
C0114,이천시
C0115,파주시
C0116,평택시 송탄
C0117,평택시
C0118,포천시
C0119,하남시
C0120,화성시
C0121,부천시 오정구
C0122,부천시 소사
C0123,강릉시
C0124,고성군
C0125,동해시
C0126,삼척시
C0127,속초시
C0128,양구군
C0129,양양군
C0130,영월군
C0131,원주시
C0132,인제군
C0133,정선군
C0134,철원군
C0135,춘천시
C0136,태백시
C0137,평창군
C0138,홍천군
C0139,화천군
C0140,횡성군
C0141,괴산군
C0142,단양군
C0143,보은군
C0144,영동군
C0145,옥천군
C0146,음성군
C0147,제천시
C0148,증평군
C0149,진천군
C0150,청주시 상당구
C0151,청주시 서원구
C0152,청주시 청원구
C0153,청주시 흥덕구
C0154,충주시
C0155,계룡시
C0156,공주시
C0157,금산군
C0158,논산시
C0159,당진시
C0160,보령시
C0161,부여군
C0162,서산시
C0163,서천군
C0164,아산시
C0165,예산군
C0166,천안시 동남구
C0167,천안시 서북구
C0168,청양군
C0169,태안군
C0170,홍성군
C0171,고창군
C0172,군산시
C0173,김제시
C0174,남원시
C0175,무주군
C0176,부안군
C0177,순창군
C0178,완주군
C0179,익산시
C0180,임실군
C0181,장수군
C0182,전주시
C0183,정읍시
C0184,진안군
C0185,강진군
C0186,고흥군
C0187,곡성군
C0188,광양시
C0189,구례군
C0190,나주시
C0191,담양군
C0192,목포시
C0193,무안군
C0194,보성군
C0195,순천시
C0196,신안군
C0197,여수시
C0198,영광군
C0199,영암군
C0200,완도군
C0201,장성군
C0202,장흥군
C0203,진도군
C0204,함평군
C0205,해남군
C0206,화순군
C0207,경산시
C0208,경주시
C0209,고령군
C0210,구미시 구미
C0211,구미시 선산
C0212,김천시
C0213,문경시
C0214,봉화군
C0215,상주시
C0216,성주군
C0217,안동시
C0218,영덕군
C0219,영양군
C0220,영주시
C0221,영천시
C0222,예천군
C0223,울릉군
C0224,울진군
C0225,의성군
C0226,청도군
C0227,청송군
C0228,칠곡군
C0229,포항시 남구
C0230,포항시 북구
C0231,거제시
C0232,거창군
C0233,고성군
C0234,김해시
C0235,남해군
C0236,창원시
C0237,밀양시
C0238,사천시
C0239,산청군
C0240,양산시
C0241,의령군
C0242,진주시
C0243,진해구
C0244,창녕군
C0245,창원시
C0246,통영시
C0247,하동군
C0248,함안군
C0249,함양군
C0250,합천군
C0251,제주도 서귀포시 동부
C0252,제주도 서귀포시 서귀포
C0253,제주도 서귀포시 서부
C0254,제주도 제주시 동부
C0255,제주도 제주시 제주
C0256,제주도 제주시 서부
C0257,구미시
C0259,부천시
C0263,계양구
C0264,동구
C0265,광양시
C0269,평택시
C0270,서구
C0272,화성시
C0273,화성시
C0274,화성시
C0277,김해시
C0278,김해시
C0279,이천시
C0280,여주시
C0281,여주시
C0282,시흥시
C0283,시흥시
C0284,장성군
C0287,해남군
C0292,청주시
C0293,청주시
C0294,청주시
C0295,청주시
C0296,청주시
C0298,수원시
C0300,용인시
C0303,미추홀구
C0304,구례군
C0307,경주시
C0308,순천시
C0312,강북구
C0313,구리시
C0314,동구
C0318,중구
C0321,양주시
C0322,의정부시
C0324,곡성군
C0326,대덕구
C0327,유성구
C0332,영암군
C0333,진도군
C0335,서귀포시
C0336,의정부시
C0340,전주시
C0341,서귀포시
C0345,서귀포시
C0346,서귀포시
C0349,제주시
C0351,안양시
C0352,사하구
C0353,사하구
C0354,포천시
C0355,포천시
C0356,세종시
C0357,세종시
C0358,의정부시
C0359,목포시
