운영기관ID,센터ID
O0223,C0001
O0155,C0002
O0026,C0003
O0004,C0004
O0054,C0005
O0132,C0006
O0072,C0007
O0072,C0008
O0023,C0009
O0225,C0011
O0064,C0012
O0038,C0013
O0061,C0014
O0038,C0015
O0067,C0016
O0132,C0017
O0165,C0018
O0065,C0019
O0035,C0020
O0066,C0021
O0032,C0022
O0137,C0023
O0138,C0024
O0166,C0025
O0077,C0026
O0036,C0027
O0154,C0028
O0063,C0029
O0057,C0030
O0047,C0031
O0069,C0032
O0043,C0033
O0051,C0034
O0037,C0035
O0062,C0036
O0048,C0037
O0220,C0038
O0219,C0039
O0060,C0040
O0143,C0041
O0045,C0042
O0059,C0043
O0216,C0044
O0144,C0045
O0141,C0046
O0084,C0047
O0214,C0048
O0060,C0049
O0215,C0050
O0042,C0051
O0205,C0052
O0025,C0053
O0218,C0054
O0057,C0055
O0039,C0056
O0062,C0057
O0027,C0058
O0050,C0059
O0060,C0060
O0052,C0061
O0045,C0062
O0057,C0063
O0043,C0064
O0012,C0065
O0049,C0066
O0057,C0067
O0062,C0068
O0156,C0069
O0060,C0070
O0045,C0071
O0057,C0072
O0043,C0073
O0060,C0075
O0078,C0076
O0212,C0077
O0213,C0081
O0089,C0082
O0187,C0083
O0080,C0084
O0211,C0085
O0079,C0086
O0210,C0087
O0103,C0089
O0208,C0098
O0140,C0101
O0157,C0104
O0209,C0105
O0073,C0106
O0106,C0107
O0199,C0108
O0200,C0112
O0101,C0113
O0147,C0114
O0195,C0115
O0024,C0117
O0074,C0118
O0076,C0119
O0030,C0120
O0149,C0123
O0021,C0124
O0097,C0125
O0013,C0126
O0015,C0127
O0008,C0128
O0150,C0129
O0014,C0130
O0029,C0131
O0148,C0132
O0169,C0133
O0170,C0134
O0018,C0135
O0188,C0136
O0104,C0137
O0189,C0138
O0096,C0139
O0186,C0140
O0099,C0141
O0046,C0142
O0095,C0143
O0183,C0144
O0087,C0145
O0184,C0146
O0185,C0147
O0053,C0148
O0128,C0149
O0164,C0154
O0163,C0155
O0182,C0156
O0196,C0157
O0198,C0158
O0190,C0159
O0116,C0160
O0071,C0161
O0117,C0162
O0167,C0163
O0118,C0164
O0168,C0165
O0110,C0168
O0114,C0169
O0041,C0170
O0160,C0171
O0158,C0172
O0016,C0173
O0179,C0174
O0120,C0175
O0134,C0176
O0020,C0177
O0019,C0178
O0033,C0179
O0086,C0180
O0007,C0181
O0153,C0182
O0135,C0183
O0181,C0184
O0130,C0185
O0129,C0186
O0119,C0187
O0180,C0188
O0127,C0189
O0228,C0190
O0131,C0191
O0011,C0192
O0161,C0193
O0125,C0194
O0126,C0195
O0123,C0196
O0136,C0197
O0162,C0198
O0124,C0199
O0121,C0200
O0159,C0201
O0122,C0202
O0111,C0203
O0115,C0204
O0093,C0205
O0171,C0206
O0172,C0207
O0173,C0208
O0174,C0209
O0092,C0212
O0040,C0213
O0139,C0214
O0175,C0215
O0176,C0216
O0081,C0217
O0177,C0219
O0094,C0220
O0178,C0221
O0206,C0222
O0108,C0223
O0031,C0224
O0070,C0225
O0193,C0226
O0112,C0227
O0194,C0228
O0192,C0231
O0151,C0232
O0021,C0233
O0017,C0234
O0152,C0235
O0056,C0236
O0197,C0237
O0191,C0238
O0113,C0239
O0088,C0240
O0207,C0241
O0201,C0242
O0202,C0244
O0055,C0245
O0107,C0246
O0044,C0247
O0105,C0248
O0203,C0249
O0068,C0250
O0058,C0257
O0204,C0259
O0205,C0263
O0098,C0264
O0180,C0265
O0001,C0269
O0142,C0270
O0028,C0272
O0034,C0273
O0030,C0274
O0010,C0277
O0017,C0278
O0147,C0279
O0073,C0280
O0073,C0281
O0208,C0282
O0208,C0283
O0109,C0284
O0102,C0287
O0091,C0292
O0083,C0293
O0090,C0294
O0082,C0295
O0145,C0296
O0217,C0298
O0022,C0300
O0075,C0303
O0100,C0304
O0224,C0307
O0227,C0308
O0026,C0312
O0080,C0313
O0146,C0314
O0133,C0318
O0157,C0321
O0101,C0322
O0085,C0324
O0049,C0326
O0156,C0327
O0124,C0332
O0222,C0333
O0003,C0335
O0101,C0336
O0226,C0340
O0006,C0341
O0002,C0345
O0005,C0346
O0009,C0349
O0221,C0351
O0037,C0352
O0037,C0353
O0074,C0354
O0074,C0355
O0133,C0356
O0078,C0357
O0101,C0358
O0011,C0359
